smiles idnumber mw hac
N#CC1=CC=C(C2=CSC(NC(=O)COC3=CC=CC=C3)=N2)C=C1 Z28300921 335.388 24
N#CC1=CC=C(C2=CSC(NC(=O)CC3=CC=C(Cl)C=C3)=N2)C=C1 Z28300977 353.834 24
N#CC1=CC=C(C2=CSC(NC(=O)CCC3CCCC3)=N2)C=C1 Z28300980 325.437 23
N#CC1=CC=C(C2=CSC(NC(=O)C3=CC=CS3)=N2)C=C1 Z28300988 311.391 21
N#CC1=CC=C(C2=CSC(NC(=O)C3=CC=C(F)C=C3F)=N2)C=C1 Z28300997 341.342 24
CC1=CC=CC(C(=O)NC2=NC(C3=CC=C(C#N)C=C3)=CS2)=C1 Z28301074 319.389 23
N#CC1=CC=C(C2=CSC(NC(=O)CC3=CC=C(Br)C=C3)=N2)C=C1 Z28301109 398.285 24
CC1=CC=C(S(=O)(=O)N2CCOCC2)C=C1C(=O)NC1=C(C#N)C(C)=C(C)S1 Z28750868 419.528 28
CC1=CC(C2=NN(C3=CC=CC=C3)C=C2C(=O)NC2=NN=C(C)S2)=CC=C1 Z29672277 375.457 27
CC1=CC=CC(C2=NN(C3=CC=CC=C3)C=C2C(=O)NC2=CC=C(C(N)=O)C=C2)=C1 Z30241489 396.450 30
CC1=CC=C(C(C)C)C=C1OCC(=O)NC1=NC=CC=N1 Z53853327 285.347 21
CCC1=C(C(=O)N2CCOCC2)C(C)=NO1 Z54617004 224.260 16
CC(C)CN(C(=O)CN1CCC(O)CC1)C1CCS(=O)(=O)C1 Z54507344 332.466 22
CC(C)CN(C(=O)CN1CCC(C(N)=O)CC1)C1CCS(=O)(=O)C1 Z54748196 359.492 24
CC(C)CN(C(=O)CN1CCCCCC1)C1CCS(=O)(=O)C1 Z54748788 330.494 22
CC(C)CN(C(=O)CN(C)C1=CC=CC=C1)C1CCS(=O)(=O)C1 Z54748851 338.473 23
CC(C)CN(C(=O)CN1CCCCC1)C1CCS(=O)(=O)C1 Z54749213 316.467 21
CC(C)CN(C(=O)CN1CCOCC1)C1CCS(=O)(=O)C1 Z54749284 318.439 21
ClC1=CC=CC(Cl)=C1OCCN1CCCCC1 Z54749612 274.191 17
CN1CCN(CCOC2=C(Cl)C=CC=C2Cl)CC1 Z54750785 289.206 18
CC(C)CN(C(=O)CN1CCC2=CC=CC=C21)C1CCS(=O)(=O)C1 Z54750949 350.484 24
CC(=O)N1CCN(CC(=O)N(CC(C)C)C2CCS(=O)(=O)C2)CC1 Z54751781 359.492 24
CC(C)CN(C(=O)CN1CCCC(CO)C1)C1CCS(=O)(=O)C1 Z54751883 346.493 23
CC(C)CN(C(=O)CN1CCCC1)C1CCS(=O)(=O)C1 Z54752196 302.440 20
CC(C)CN(C(=O)CN1CCCCC1C)C1CCS(=O)(=O)C1 Z54752749 330.494 22
CC1CCCCN1CCOC1=C(Cl)C=CC=C1Cl Z54752757 288.218 18
CC(C)CN(C(=O)CN1CCCC(C)C1)C1CCS(=O)(=O)C1 Z54753004 330.494 22
CC(C)CN(C(=O)CN1CCC2=CC=CC=C2C1)C1CCS(=O)(=O)C1 Z54753232 364.511 25
CC1CCCN(CCOC2=C(Cl)C=CC=C2Cl)C1 Z54753283 288.218 18
CC(C)CN(C(=O)CN(C)CC1=CC=CC=C1)C1CCS(=O)(=O)C1 Z54753748 352.500 24
