COCC(=O)Nc1cccc(NC(C)=O)c1,16,6,3,3,0
CCC(=O)NC1CCNC1,10,5,2,2,0
COCC(=O)Nc1nnc(C)s1,12,5,3,3,0
CCn1cc(CNC(=O)c2cccnc2)cn1,17,11,4,4,0
COc1ccc(Nc2ncnc3[nH]cnc23)cc1,18,15,4,4,0
CN1CCN(C(=O)C2CCCN2)CC1,14,11,4,4,0
O=C(c1ccc(Cl)cc1)N1CCSCC1,15,12,4,4,0
CCc1ccc(C(=O)NCc2cnn(C)c2)s1,17,10,5,5,0
NC(=O)C1CCN(CCc2ccccc2)CC1,17,12,4,4,0
O=C(c1ccc2c(c1)OCO2)N1CCCCCC1,18,16,3,3,0
NC(=O)c1ccc(OCc2ccccc2)cc1,17,12,4,4,0
OC1CCN(Cc2ccc(Cl)cc2)C1,14,11,5,5,0
OCc1ccc(-n2cnc3ccccc32)cc1,17,15,4,4,0
Cn1ccc(NCc2ccccc2)n1,14,11,4,4,0
NC(=O)c1cnc(C(F)(F)F)nc1,13,6,3,3,0
c1ccc(CCNc2nc3ccccc3[nH]2)cc1,18,15,3,3,0
O=c1[nH]cc(NCc2ccccc2)c(=O)[nH]1,16,12,3,3,0
Cc1nccc(N2CCC(N)CC2)n1,14,12,5,5,0
Cn1cc(C(=O)O)c(-c2ccncc2)n1,15,11,5,5,0
CN(C)C(=O)OCCn1ccnc1,13,5,2,2,0
N#CCC(=O)N1CCC(C(N)=O)CC1,14,6,3,3,0
CNC(C)c1cnn(C)c1,10,5,3,3,0
CC(=O)NC(C(=O)O)C1CCOCC1,14,6,2,2,0
CC(N)CN1CCOCC1,10,6,2,2,0
COc1ccc(C)cc1NC(=O)CN,14,6,4,4,0
CC(C)(O)CN1CCC(N)C1,11,5,3,3,0
CS(=O)(=O)N1CCC(O)CC1,11,6,3,3,0
CC1CCCCN1CCN,10,6,3,3,0
CC(=O)Nc1cc(C(=O)O)ccc1F,14,6,4,4,0
NC(=O)N1CCN(c2ccc(F)cc2)CC1,16,12,5,5,0
N#Cc1ccc(Cn2cnc3ccccc32)cc1,18,15,4,4,0
C1CN(Cc2nc(C3CC3)no2)CCO1,15,14,5,5,0
CC(=O)Nc1ccccc1O,11,6,3,3,0
CN(CCO)S(=O)(=O)c1ccc(N)cc1,15,6,3,3,0
CNC(=O)c1ccc(CS(C)(=O)=O)cc1,15,6,3,3,0
CC(N)C(=O)N1CCCCC1C,12,6,3,3,0
NC(=O)c1ccc(NC(=O)C2CCCC2)cc1,17,11,4,4,0
COC(=O)C1CCN(C(=O)NC(C)(C)C)CC1,17,6,3,3,0
COc1ccc2cn[nH]c(=O)c2c1OC,15,10,3,3,0
CNS(=O)(=O)CC1CCCCC1,12,6,2,2,0
COc1cccnc1C#N,10,6,3,3,0
Fc1cccc(CNCc2ccco2)c1,15,11,4,4,0
COc1ccccc1-c1nnco1,13,11,4,4,0
CNC(=O)C1CNCCO1,10,6,2,2,0
COc1cc(C(=O)O)cc(OC)c1OC,15,6,4,5,0
Cc1ccc(C)c(OC(=O)c2ccncc2)c1,17,12,5,5,0
O=C(NCc1nc2ccccc2[nH]1)c1ccco1,18,14,3,3,0
CC1CN(S(=O)(=O)N(C)C(C)C)CCO1,15,6,3,3,0
O=C(Nc1ccc(O)cc1)c1ccc(Cl)cc1,17,12,5,5,0
CNC(=O)NCc1c(F)cccc1Cl,14,6,4,4,0
CNc1ccccc1S(C)(=O)=O,12,6,3,3,0
CC(=O)NCC1CNCCO1,11,6,2,2,0
CC(C)Nc1nc2ccccc2[nH]1,13,9,2,2,0
CC(C)c1nnc(NCC(C)(C)C)s1,14,5,3,3,0
