Cc1cccc(C(=O)Nc2ccc(C)cc2O)c1,C.Cc1cccc(C(N)=O)c1.O,RING|[Xe]c1ccc([Xe])c([Xe])c1|[102Xe]C1CCC([103Xe])CC1[104Xe]|RING|C[Xe].Cc1cccc(C(=O)N[Xe])c1.O[Xe]|CC1CCCC(C(O)N[102Xe])C1.C[103Xe].O[104Xe]
O=C(NCCC1=CCCCC1)c1cnccn1,O=CNCCC1=CCCCC1,RING|[Xe]c1cnccn1|[101Xe]C1CCCCC1|RING|O=C([Xe])NCCC1=CCCCC1|OC([101Xe])NCCC1CCCCC1
O=C(NCCC1=CCCCC1)c1cnccn1,C1=CCCCC1.c1cnccn1,FG|O=C([Xe])NCC[Xe]|OC([101Xe])NCC[100Xe]|RING|[Xe]C1=CCCCC1.[Xe]c1cnccn1|[100Xe]C1CCCCC1.[101Xe]C1CCCCC1
O=C(NCCC1=CCCCC1)c1cnccn1,CCNC(=O)c1cnccn1,RING|[Xe]C1=CCCCC1|[100Xe]C1CCCCC1|RING|O=C(NCC[Xe])c1cnccn1|OC(NCC[100Xe])C1CCCCC1
O=C(COc1ccccc1)Nc1ccccc1O,O=C(COc1ccccc1)Nc1ccccc1,FG|O[Xe]|O[102Xe]|RING|O=C(COc1ccccc1)Nc1ccccc1[Xe]|OC(COC1CCCCC1)NC1CCCCC1[102Xe]
O=C(COc1ccccc1)Nc1ccccc1O,NC(=O)COc1ccccc1.O,RING|[Xe]c1ccccc1[Xe]|[101Xe]C1CCCCC1[102Xe]|RING|O=C(COc1ccccc1)N[Xe].O[Xe]|OC(COC1CCCCC1)N[101Xe].O[102Xe]
O=C(COc1ccccc1)Nc1ccccc1O,O=C(CO)Nc1ccccc1O,RING|[Xe]c1ccccc1|[100Xe]C1CCCCC1|RING|O=C(CO[Xe])Nc1ccccc1O|OC(CO[100Xe])NC1CCCCC1O
O=C(COc1ccccc1)Nc1ccccc1O,Oc1ccccc1.c1ccccc1,FG|O=C(CO[Xe])N[Xe]|OC(CO[100Xe])N[101Xe]|RING|Oc1ccccc1[Xe].[Xe]c1ccccc1|OC1CCCCC1[101Xe].[100Xe]C1CCCCC1
CC(C)(C)C1CCN(C(=O)c2ccccc2)CC1,CC(C)C.O=Cc1ccccc1,RING|[Xe]C1CCN([Xe])CC1|[100Xe]C1CCC([101Xe])CC1|RING|CC(C)(C)[Xe].O=C([Xe])c1ccccc1|CC(C)(C)[100Xe].OC([101Xe])C1CCCCC1
CC(C)(C)C1CCN(C(=O)c2ccccc2)CC1,CC(C)(C)C1CCNCC1.c1ccccc1,FG|O=C([Xe])[Xe]|OC([101Xe])[102Xe]|RING|CC(C)(C)C1CCN([Xe])CC1.[Xe]c1ccccc1|CC(C)(C)C1CCC([101Xe])CC1.[102Xe]C1CCCCC1
CC(C)(C)C1CCN(C(=O)c2ccccc2)CC1,CC(C)(C)C1CCN(C=O)CC1,RING|[Xe]c1ccccc1|[102Xe]C1CCCCC1|RING|CC(C)(C)C1CCN(C(=O)[Xe])CC1|CC(C)(C)C1CCC(C(O)[102Xe])CC1
CC(C)(C)C1CCN(C(=O)c2ccccc2)CC1,O=C(c1ccccc1)N1CCCCC1,FG|CC(C)(C)[Xe]|CC(C)(C)[100Xe]|RING|O=C(c1ccccc1)N1CCC([Xe])CC1|OC(C1CCC([100Xe])CC1)C1CCCCC1
Cc1cc(C(=O)NCC2CCOC2)on1,CNC(=O)c1cc(C)no1,RING|[Xe]C1CCOC1|[102Xe]C1CCCC1|RING|Cc1cc(C(=O)NC[Xe])on1|CC1CCC(C(O)NC[102Xe])C1
Cc1cc(C(=O)NCC2CCOC2)on1,C.O=CNCC1CCOC1,RING|[Xe]c1cc([Xe])on1|[100Xe]C1CCC([101Xe])C1|RING|C[Xe].O=C([Xe])NCC1CCOC1|C[100Xe].OC([101Xe])NCC1CCCC1
Cc1cc(C(=O)NCC2CCOC2)on1,C1CCOC1.Cc1ccon1,FG|O=C([Xe])NC[Xe]|OC([101Xe])NC[102Xe]|RING|Cc1cc([Xe])on1.[Xe]C1CCOC1|CC1CCC([101Xe])C1.[102Xe]C1CCCC1
Cc1cc(C(=O)NCC2CCOC2)on1,O=C(NCC1CCOC1)c1ccno1,FG|C[Xe]|C[100Xe]|RING|O=C(NCC1CCOC1)c1cc([Xe])no1|OC(NCC1CCCC1)C1CCC([100Xe])C1
CC(C)(CO)NC(=O)Nc1ccc(Cl)cc1,CC(C)(CO)NC(=O)Nc1ccccc1,FG|Cl[Xe]|Cl[101Xe]|RING|CC(C)(CO)NC(=O)Nc1ccc([Xe])cc1|CC(C)(CO)NC(O)NC1CCC([101Xe])CC1
CC(C)(CO)NC(=O)Nc1ccc(Cl)cc1,Clc1ccccc1,FG|CC(C)(CO)NC(=O)N[Xe]|CC(C)(CO)NC(O)N[100Xe]|RING|Clc1ccc([Xe])cc1|ClC1CCC([100Xe])CC1
CC(C)(CO)NC(=O)Nc1ccc(Cl)cc1,CC(C)(CO)NC(N)=O.Cl,RING|[Xe]c1ccc([Xe])cc1|[100Xe]C1CCC([101Xe])CC1|FG|CC(C)(CO)NC(=O)N[Xe].Cl[Xe]|CC(C)(CO)NC(O)N[100Xe].Cl[101Xe]
Cc1nn(C)c2c(O)nncc12,C.C.O,RING|[Xe]c1nn([Xe])c2c([Xe])nncc12|[100Xe]C1CC([101Xe])C2C([102Xe])CCCC12|FG|C[Xe].C[Xe].O[Xe]|C[100Xe].C[101Xe].O[102Xe]
Cc1nn(C)c2c(O)nncc12,Cn1ncc2cnnc(O)c21,FG|C[Xe]|C[100Xe]|RING|Cn1nc([Xe])c2cnnc(O)c21|CC1CC([100Xe])C2CCCC(O)C12
Cc1nn(C)c2c(O)nncc12,Cc1nn(C)c2cnncc12,FG|O[Xe]|O[102Xe]|RING|Cc1nn(C)c2c([Xe])nncc12|CC1CC(C)C2C([102Xe])CCCC12
Cc1nn(C)c2c(O)nncc12,Cc1n[nH]c2c(O)nncc12,FG|C[Xe]|C[101Xe]|RING|Cc1nn([Xe])c2c(O)nncc12|CC1CC([101Xe])C2C(O)CCCC12
C1CC(CNC2CC2)CO1,CNC1CC1,RING|[Xe]C1CCOC1|[100Xe]C1CCCC1|RING|[Xe]CNC1CC1|[100Xe]CNC1CC1
